molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit,Lipinski_violations,Lipinski_pass,Veber_pass,Triage_label
182.22,1.47,54.37,1,2,182.21899999999997,1.4664,54.370000000000005,1.0,2.0,1.0,0,True,True,High-priority
182.31,3.28,17.07,0,1,182.307,3.283800000000002,17.07,0.0,1.0,2.0,0,True,True,High-priority
184.28,3.21,37.3,1,1,184.27899999999997,3.211700000000002,37.3,1.0,1.0,5.0,0,True,True,High-priority
184.28,2.93,26.3,0,2,184.279,2.9320000000000013,26.3,0.0,2.0,5.0,0,True,True,High-priority
186.21,2.47,37.3,1,1,186.21,2.4669000000000008,37.3,1.0,1.0,2.0,0,True,True,High-priority
189.22,2.09,45.03,0,3,189.218,2.08622,45.03,0.0,3.0,2.0,0,True,True,High-priority
189.22,2.07,45.56,0,3,189.218,2.0660000000000003,45.56,0.0,3.0,2.0,0,True,True,High-priority
189.22,1.15,63.4,2,3,189.218,1.1478,63.39999999999999,2.0,3.0,2.0,0,True,True,High-priority
189.26,3.15,21.26,1,2,189.258,3.151300000000001,21.26,1.0,2.0,0.0,0,True,True,High-priority
190.15,-2.01,129.72,4,4,190.155,-2.0108,129.72,4.0,4.0,4.0,0,True,True,High-priority
190.2,0.98,65.98,2,3,190.202,0.9763999999999996,65.98,2.0,3.0,1.0,0,True,True,High-priority
192.21,1.55,35.53,0,3,192.214,1.5532,35.53,0.0,3.0,2.0,0,True,True,High-priority
192.29,1.72,24.39,2,3,192.28699999999995,1.7151999999999994,24.39,2.0,3.0,1.0,0,True,True,High-priority
192.31,2.99,25.78,0,2,192.306,2.990460000000001,25.78,0.0,2.0,3.0,0,True,True,High-priority
196.2,0.17,59.06,1,4,196.202,0.1723999999999999,59.06,1.0,4.0,0.0,0,True,True,High-priority
198.17,0.33,97.99,4,4,198.17399999999995,0.3307999999999999,97.99,4.0,4.0,3.0,0,True,True,High-priority
198.22,-0.15,66.76,2,4,198.218,-0.1510000000000001,66.76,2.0,4.0,1.0,0,True,True,High-priority
198.22,0.89,74.6,2,3,198.218,0.8915,74.6,2.0,3.0,4.0,0,True,True,High-priority
200.23,0.59,66.76,2,4,200.234,0.5851,66.75999999999999,2.0,4.0,3.0,0,True,True,High-priority
200.23,0.24,66.76,2,4,200.234,0.2390999999999999,66.76,2.0,4.0,3.0,0,True,True,High-priority
201.27,2.41,29.1,1,2,201.269,2.413100000000001,29.1,1.0,2.0,3.0,0,True,True,High-priority
202.25,1.03,66.76,2,3,202.25,1.0256,66.76,2.0,3.0,4.0,0,True,True,High-priority
202.25,-0.05,92.42,3,3,202.254,-0.049299999999999,92.42,3.0,3.0,6.0,0,True,True,High-priority
203.2,1.94,59.42,1,3,203.197,1.9416,59.42,1.0,3.0,2.0,0,True,True,High-priority
204.22,2.57,46.53,1,2,204.225,2.569,46.53,1.0,2.0,1.0,0,True,True,High-priority
204.36,4.73,0.0,0,0,204.357,4.7252000000000045,0.0,0.0,0.0,1.0,0,True,True,High-priority
206.2,1.35,66.76,2,4,206.197,1.349,66.76,2.0,4.0,0.0,0,True,True,High-priority
206.24,2.36,46.53,1,3,206.241,2.3627400000000005,46.53,1.0,3.0,1.0,0,True,True,High-priority
206.27,2.67,30.21,0,3,206.266,2.673800000000001,30.21,0.0,3.0,2.0,0,True,True,High-priority
206.33,4.05,17.07,0,1,206.329,4.048300000000003,17.07,0.0,1.0,4.0,0,True,True,High-priority
208.21,-2.18,99.38,4,6,208.21,-2.175599999999999,99.38,4.0,6.0,4.0,0,True,True,High-priority
